"month","means","medians","max","min","Q10","Q25","Q75","Q90"
"Jan",107.914749661705,86,568,5,11,18.5,165.5,248.4
"Feb",96.7372372372372,67,407,4,11,18,160.75,224.5
"Mar",89.2748948106592,73,318,0,10,27,132,190.8
"Apr",78.8551336146273,68,722,1,19,39,108,141
"May",60.1283783783784,50,261,6,13,27,83.25,120
"Jun",54.3974358974359,42,258,2,9,19,79,117
"Jul",55.0835579514825,51.5,151,3,19,31,73.75,96.9
"Aug",44.6473755047106,35,141,3,9.2,17,68,95
"Sep",46.8486111111111,29,206,-15,7.90000000000001,13,68,116.3
"Oct",72.3743243243243,33,356,-15,6,12,89.25,229.5
"Nov",124.822222222222,87,666,5,18,40.75,186.5,260.2
"Dec",161.715646258503,117,634,-15,8,22,251,400.8
